30584;# doc = relatives.2.txt;;;;;;;;;;;;;;;;
30585;# speaker = Алина;;;;;;;;;;;;;;;;
30586;# sent = 2346;;;;;;;;;;;;;;;;
30587;;Ну;НУ;PART;;;   _Ну_ всё / ты;у;н;;;;;PART;НУ;PART;У
30588;;всё;ВСЕ;PART;;;  Ну _всё_ / ты придумал;ё;с;в;;;;PART;ВСЕ;PART;Е
30589;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30590;;ты;ТЫ;SPRO sg 2p - nom;;;Ну всё / _ты_ придумал что-нибудь ?;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
30591;;придумал;ПРИДУМАТЬ;V pf praet sg indic m -;;;всё / ты _придумал_ что-нибудь ? ;л;а;м;у;д;и;V;ПРИДУМАТЬ;V pf praet sg indic m -;Ь
30592;;что-нибудь;ЧТО-НИБУДЬ;SPRO n inan acc sg;;;/ ты придумал _что-нибудь_ ?  ;ь;д;у;б;и;н;SPRO;ЧТО-НИБУДЬ;S n - acc sg;Ь
30593;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
30594;;;;;;;;;;;;;;;;;
30595;# sent = 2347;;;;;;;;;;;;;;;;
30596;# speaker = Мирон;;;;;;;;;;;;;;;;
30597;# sent = 2348;;;;;;;;;;;;;;;;
30598;;Эм;ЭМ;INTJ;;;   _Эм_  я думаю;м;э;;;;;INTJ;ЭМ;S n inan nonflex -;М
30599;<noindex>[нрзб]</noindex>;;;;;;;;;;;;;;;;
30600;;я;Я;SPRO sg 1p - nom;;; Эм  _я_ думаю да ;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
30601;;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;Эм  я _думаю_ да  ;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p;Ь
30602;;да;ДА;CONJ;;; я думаю _да_   ;а;д;;;;;CONJ;ДА;CONJ;А
30603;;;;;;;;;;;;;;;;;
30604;# sent = 2349;;;;;;;;;;;;;;;;
30605;# speaker = Алина;;;;;;;;;;;;;;;;
30606;# sent = 2350;;;;;;;;;;;;;;;;
30607;;Ну;НУ;PART;;;   _Ну_ всё го ;у;н;;;;;PART;НУ;PART;У
30608;;всё;ВСЕ;PART;;;  Ну _всё_ го  ;ё;с;в;;;;PART;ВСЕ;PART;Е
30609;;го;ГО;V nonflex;;; Ну всё _го_   ;о;г;;;;;V;ГО;S n inan nonflex -;О
30610;;;;;;;;;;;;;;;;;
30611;# sent = 2351;;;;;;;;;;;;;;;;
30612;# speaker = Мирон;;;;;;;;;;;;;;;;
30613;# sent = 2352;;;;;;;;;;;;;;;;
30614;;Смотри;СМОТРЕТЬ;V ipf - sg imper - 2p;;;   _Смотри_ // Меня зовут;и;р;т;о;м;с;V;СМОТРЕТЬ;V ipf - sg imper - 2p;Ь
30615;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30616;;Меня;Я;SPRO sg 1p - acc;;; Смотри // _Меня_ зовут Мирон Крылов;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
30617;;зовут;ЗВАТЬ;V ipf praes pl indic - 3p;;;Смотри // Меня _зовут_ Мирон Крылов //;т;у;в;о;з;;V;ЗВАТЬ;V ipf praes pl indic - 3p;Ь
30618;;Мирон;МИРОН;S m persn nom sg;;;// Меня зовут _Мирон_ Крылов // А;н;о;р;и;м;;S;МИРОН;S m anim nom sg;Н
30619;;Крылов;КРЫЛОВ;S m famn nom sg;;;Меня зовут Мирон _Крылов_ // А /;в;о;л;ы;р;к;S;КРЫЛОВ;S m anim nom sg;В
30620;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30621;;А;А;CONJ;;;Мирон Крылов // _А_ / моего прапрадеда;а;;;;;;CONJ;А;CONJ;А
30622;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30623;;моего;МОЙ;APRO - acc sg plen m -;;;// А / _моего_ прапрадеда не звали;о;г;е;о;м;;APRO;МОЙ;A - gen sg plen m -;Й
30624;;прапрадеда;ПРАПРАДЕД;S m anim acc sg;;;А / моего _прапрадеда_ не звали Крылов;а;д;е;д;а;р;S;ПРАПРАДЕД;S m anim acc sg;Д
30625;;не;НЕ;PART;;;/ моего прапрадеда _не_ звали Крылов /;е;н;;;;;PART;НЕ;PART;Е
30626;;звали;ЗВАТЬ;V ipf praet pl indic - -;;;моего прапрадеда не _звали_ Крылов / ни;и;л;а;в;з;;V;ЗВАТЬ;V ipf praet pl indic - -;Ь
30627;;Крылов;КРЫЛОВ;S m famn nom sg;;;прапрадеда не звали _Крылов_ / ни одного;в;о;л;ы;р;к;S;КРЫЛОВ;S m anim nom sg;В
30628;;/;/;PUNCT;;;;;;;;;;PUNCT;;;
30629;;ни;НИ;PART;;;звали Крылов / _ни_ одного  ;и;н;;;;;PART;НИ;PART;И
30630;;одного;ОДИН;ANUM - acc sg plen m anim;;;Крылов / ни _одного_   ;о;г;о;н;д;о;ANUM;ОДИН;A - acc sg plen m anim;Н
30631;;;;;;;;;;;;;;;;;
30632;# sent = 2353;;;;;;;;;;;;;;;;
30633;# speaker = Алина;;;;;;;;;;;;;;;;
30634;# sent = 2354;;;;;;;;;;;;;;;;
30635;;А;А;CONJ;;;   _А_ кого звали ?;а;;;;;;CONJ;А;CONJ;А
30636;;кого;КТО;SPRO m - acc sg;;;  А _кого_ звали ? ;о;г;о;к;;;S;КТО;S m - acc sg;О
30637;;звали;ЗВАТЬ;V ipf praet pl indic - -;;; А кого _звали_ ?  ;и;л;а;в;з;;V;ЗВАТЬ;V ipf praet pl indic - -;Ь
30638;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
30639;;;;;;;;;;;;;;;;;
30640;# sent = 2355;;;;;;;;;;;;;;;;
30641;# speaker = Мирон;;;;;;;;;;;;;;;;
30642;# sent = 2356;;;;;;;;;;;;;;;;
30643;;Звали;ЗВАТЬ;V ipf praet pl indic - -;;;   _Звали_ мою прапрабабушку //;и;л;а;в;з;;V;ЗВАТЬ;V ipf praet pl indic - -;Ь
30644;;мою;МОЙ;APRO - acc sg plen f -;;;  Звали _мою_ прапрабабушку // Её;ю;о;м;;;;APRO;МОЙ;A - acc sg plen f -;Й
30645;;прапрабабушку;ПРАПРАБАБУШКА;S f anim acc sg;;; Звали мою _прапрабабушку_ // Её з;у;к;ш;у;б;а;S;ПРАПРАБАБУШКА;S f inan acc sg;А
30646;;//;//;PUNCT;;;;;;;;;;PUNCT;;;
30647;;Её;ЕЕ;SPRO f 3p acc sg ;;;мою прапрабабушку // _Её_ з ... звали;ё;е;;;;;APRO;ЕЕ;A - nonflex - plen - -;Е
30648;;з;З;NONLEX;слитно;;прапрабабушку // Её _з_ ... звали Сара;з;;;;;;NONLEX;З;NONLEX;З
30649;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
30650;;звали;ЗВАТЬ;V ipf praet pl indic - -;;;Её з ... _звали_ Сара Алексеевна Крылова;и;л;а;в;з;;V;ЗВАТЬ;V ipf praet pl indic - -;Ь
30651;;Сара;САРА;S f persn nom sg;;;з ... звали _Сара_ Алексеевна Крылова ...;а;р;а;с;;;S;САРА;S f anim nom sg;А
30652;;Алексеевна;АЛЕКСЕЕВНА;S f patrn nom sg;;;... звали Сара _Алексеевна_ Крылова ... ;а;н;в;е;е;с;S;АЛЕКСЕЕВНА;S f anim nom sg;А
30653;;Крылова;КРЫЛОВ;S f famn nom sg;;;звали Сара Алексеевна _Крылова_ ...  ;а;в;о;л;ы;р;S;КРЫЛОВ;S m anim gen sg;В
30654;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
30655;;;;;;;;;;;;;;;;;
30656;# sent = 2357;;;;;;;;;;;;;;;;
30657;# speaker = Алина;;;;;;;;;;;;;;;;
